x,y
4015141.53949,20582598.5363
4018900.63983,20582598.5363
4022659.74016,20582598.5363
4026418.84049,20582598.5363
4030177.94082,20582598.5363
4033937.04115,20582598.5363
4037696.14149,20582598.5363
4041455.24182,20582598.5363
4045214.34215,20582598.5363
4048973.44248,20582598.5363
4052732.54281,20582598.5363
4056491.64315,20582598.5363
4060250.74348,20582598.5363
4064009.84381,20582598.5363
4067768.94414,20582598.5363
4071528.04448,20582598.5363
4075287.14481,20582598.5363
4079046.24514,20582598.5363
4082805.34547,20582598.5363
4086564.4458,20582598.5363
4090323.54614,20582598.5363
4094082.64647,20582598.5363
4097841.7468,20582598.5363
4101600.84713,20582598.5363
4105359.94747,20582598.5363
4109119.0478,20582598.5363
4112878.14813,20582598.5363
4116637.24846,20582598.5363
4120396.34879,20582598.5363
4124155.44913,20582598.5363
4127914.54946,20582598.5363
4131673.64979,20582598.5363
4135432.75012,20582598.5363
4139191.85045,20582598.5363
4142950.95079,20582598.5363
4146710.05112,20582598.5363
4150469.15145,20582598.5363
4154228.25178,20582598.5363
4157987.35212,20582598.5363
4161746.45245,20582598.5363
4165505.55278,20582598.5363
4169264.65311,20582598.5363
4173023.75344,20582598.5363
4176782.85378,20582598.5363
4180541.95411,20582598.5363
4184301.05444,20582598.5363
4188060.15477,20582598.5363
4191819.25511,20582598.5363
4195578.35544,20582598.5363
4199337.45577,20582598.5363
4203096.5561,20582598.5363
4206855.65643,20582598.5363
4210614.75677,20582598.5363
4214373.8571,20582598.5363
4218132.95743,20582598.5363
4221892.05776,20582598.5363
4225651.15809,20582598.5363
4229410.25843,20582598.5363
4233169.35876,20582598.5363
4236928.45909,20582598.5363
4240687.55942,20582598.5363
4244446.65976,20582598.5363
4248205.76009,20582598.5363
4251964.86042,20582598.5363
4255723.96075,20582598.5363
4259483.06108,20582598.5363
4263242.16142,20582598.5363
4267001.26175,20582598.5363
4270760.36208,20582598.5363
4274519.46241,20582598.5363
4278278.56275,20582598.5363
4282037.66308,20582598.5363
4285796.76341,20582598.5363
4289555.86374,20582598.5363
4293314.96407,20582598.5363
4297074.06441,20582598.5363
4300833.16474,20582598.5363
4304592.26507,20582598.5363
4308351.3654,20582598.5363
4312110.46573,20582598.5363
4315869.56607,20582598.5363
4319628.6664,20582598.5363
4323387.76673,20582598.5363
4327146.86706,20582598.5363
4330905.9674,20582598.5363
4334665.06773,20582598.5363
4338424.16806,20582598.5363
4342183.26839,20582598.5363
4345942.36872,20582598.5363
4349701.46906,20582598.5363
4353460.56939,20582598.5363
4357219.66972,20582598.5363
4360978.77005,20582598.5363
4364737.87039,20582598.5363
4368496.97072,20582598.5363
4372256.07105,20582598.5363
4376015.17138,20582598.5363
4379774.27171,20582598.5363
4383533.37205,20582598.5363
4387292.47238,20582598.5363
4391051.57271,20582598.5363
4394810.67304,20582598.5363
4398569.77337,20582598.5363
4402328.87371,20582598.5363
4406087.97404,20582598.5363
4409847.07437,20582598.5363
4413606.1747,20582598.5363
4417365.27504,20582598.5363
4421124.37537,20582598.5363
4424883.4757,20582598.5363
4428642.57603,20582598.5363
4432401.67636,20582598.5363
4436160.7767,20582598.5363
4439919.87703,20582598.5363
4443678.97736,20582598.5363
4447438.07769,20582598.5363
4451197.17803,20582598.5363
4454956.27836,20582598.5363
4458715.37869,20582598.5363
4462474.47902,20582598.5363
4466233.57935,20582598.5363
4469992.67969,20582598.5363
4473751.78002,20582598.5363
4477510.88035,20582598.5363
4481269.98068,20582598.5363
4485029.08102,20582598.5363
4488788.18135,20582598.5363
4492547.28168,20582598.5363
4496306.38201,20582598.5363
4500065.48234,20582598.5363
4503824.58268,20582598.5363
4507583.68301,20582598.5363
4511342.78334,20582598.5363
4515101.88367,20582598.5363
4518860.984,20582598.5363
4522620.08434,20582598.5363
4526379.18467,20582598.5363
4530138.285,20582598.5363
4533897.38533,20582598.5363
4537656.48567,20582598.5363
4541415.586,20582598.5363
4545174.68633,20582598.5363
4548933.78666,20582598.5363
4567729.28832,20582598.5363
4571488.38866,20582598.5363
4575247.48899,20582598.5363
4579006.58932,20582598.5363
4582765.68965,20582598.5363
4586524.78998,20582598.5363
4590283.89032,20582598.5363
4594042.99065,20582598.5363
4597802.09098,20582598.5363
4601561.19131,20582598.5363
4605320.29164,20582598.5363
4609079.39198,20582598.5363
4612838.49231,20582598.5363
4616597.59264,20582598.5363
4620356.69297,20582598.5363
4624115.79331,20582598.5363
4627874.89364,20582598.5363
4631633.99397,20582598.5363
4635393.0943,20582598.5363
4639152.19463,20582598.5363
4642911.29497,20582598.5363
4646670.3953,20582598.5363
4650429.49563,20582598.5363
4654188.59596,20582598.5363
4657947.6963,20582598.5363
3996346.03783,20578839.436
4000105.13816,20578839.436
4003864.2385,20578839.436
4007623.33883,20578839.436
4011382.43916,20578839.436
4015141.53949,20578839.436
4018900.63983,20578839.436
4022659.74016,20578839.436
4026418.84049,20578839.436
4030177.94082,20578839.436
4033937.04115,20578839.436
4037696.14149,20578839.436
4041455.24182,20578839.436
4045214.34215,20578839.436
4048973.44248,20578839.436
4052732.54281,20578839.436
4056491.64315,20578839.436
4060250.74348,20578839.436
4064009.84381,20578839.436
4067768.94414,20578839.436
4071528.04448,20578839.436
4075287.14481,20578839.436
4079046.24514,20578839.436
4082805.34547,20578839.436
4086564.4458,20578839.436
4090323.54614,20578839.436
4094082.64647,20578839.436
4097841.7468,20578839.436
4101600.84713,20578839.436
4105359.94747,20578839.436
4109119.0478,20578839.436
4112878.14813,20578839.436
4116637.24846,20578839.436
4120396.34879,20578839.436
4124155.44913,20578839.436
4127914.54946,20578839.436
4131673.64979,20578839.436
4135432.75012,20578839.436
4139191.85045,20578839.436
4142950.95079,20578839.436
4146710.05112,20578839.436
4150469.15145,20578839.436
4154228.25178,20578839.436
4157987.35212,20578839.436
4161746.45245,20578839.436
4165505.55278,20578839.436
4169264.65311,20578839.436
4173023.75344,20578839.436
4176782.85378,20578839.436
4180541.95411,20578839.436
4184301.05444,20578839.436
4188060.15477,20578839.436
4191819.25511,20578839.436
4195578.35544,20578839.436
4199337.45577,20578839.436
4203096.5561,20578839.436
4206855.65643,20578839.436
4210614.75677,20578839.436
4214373.8571,20578839.436
4218132.95743,20578839.436
4221892.05776,20578839.436
4225651.15809,20578839.436
4229410.25843,20578839.436
4233169.35876,20578839.436
4236928.45909,20578839.436
4240687.55942,20578839.436
4244446.65976,20578839.436
4248205.76009,20578839.436
4251964.86042,20578839.436
4255723.96075,20578839.436
4259483.06108,20578839.436
4263242.16142,20578839.436
4267001.26175,20578839.436
4270760.36208,20578839.436
4274519.46241,20578839.436
4278278.56275,20578839.436
4282037.66308,20578839.436
4285796.76341,20578839.436
4289555.86374,20578839.436
4293314.96407,20578839.436
4297074.06441,20578839.436
4300833.16474,20578839.436
4304592.26507,20578839.436
4308351.3654,20578839.436
4312110.46573,20578839.436
4315869.56607,20578839.436
4319628.6664,20578839.436
4323387.76673,20578839.436
4327146.86706,20578839.436
4330905.9674,20578839.436
4334665.06773,20578839.436
4338424.16806,20578839.436
4342183.26839,20578839.436
4345942.36872,20578839.436
4349701.46906,20578839.436
4353460.56939,20578839.436
4357219.66972,20578839.436
4360978.77005,20578839.436
4364737.87039,20578839.436
4368496.97072,20578839.436
4372256.07105,20578839.436
4376015.17138,20578839.436
4379774.27171,20578839.436
4383533.37205,20578839.436
4387292.47238,20578839.436
4391051.57271,20578839.436
